                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0297,                 2.4747,                0.94671,                 1.0797,                0.96634,                    0.8,                0.93786,                0.76084,                0.96634,                    0.8,                0.93786,                0.57153,                0.89164,                  1.957,                 1.2501,                 1.0081,              0.0007552,              0.0007552,              0.0007552
                     82,                 1.0206,                 2.1436,                 1.0252,                 1.0635,                0.96634,                    0.8,                0.93786,                0.76084,                0.96634,                    0.8,                0.93786,                0.57153,                0.89164,                  1.957,                 1.2501,                 1.0081,             0.00075395,             0.00075395,             0.00075395
                     83,                 1.0073,                 1.9621,                 0.9933,                 1.0676,                0.96634,                    0.8,                0.93786,                0.76084,                0.96634,                    0.8,                0.93786,                0.57153,                0.89164,                  1.957,                 1.2501,                 1.0081,             0.00075243,             0.00075243,             0.00075243
                     84,                 1.0353,                 1.8829,                 1.1314,                 1.2124,                      1,                0.77816,                0.93786,                0.77234,                      1,                0.77816,                0.93786,                0.54485,                0.97035,                 1.8945,                 1.2961,                 1.0653,             0.00075065,             0.00075065,             0.00075065
                     85,                0.99486,                 1.6866,                 1.2756,                 1.1546,                      1,                0.77816,                0.93786,                0.77234,                      1,                0.77816,                0.93786,                0.54485,                0.97035,                 1.8945,                 1.2961,                 1.0653,             0.00074861,             0.00074861,             0.00074861
                     86,                 0.9179,                 2.0199,                 1.0791,                 1.0843,                      1,                0.77816,                0.93786,                0.77234,                      1,                0.77816,                0.93786,                0.54485,                0.97035,                 1.8945,                 1.2961,                 1.0653,              0.0007463,              0.0007463,              0.0007463
                     87,                0.88918,                 1.8757,                0.99196,                 1.0369,                      1,                0.77816,                0.93786,                0.77234,                      1,                0.77816,                0.93786,                0.54485,                0.97035,                 1.8945,                 1.2961,                 1.0653,             0.00074373,             0.00074373,             0.00074373
                     88,                0.88518,                 2.1167,                 1.0186,                 1.0651,                0.70664,                 0.9679,                0.89786,                0.70623,                0.70664,                 0.9679,                0.89786,                0.54449,                 1.0211,                 1.8153,                 1.3419,                 1.0978,             0.00074089,             0.00074089,             0.00074089
                     89,                0.91052,                 1.9307,                0.88229,                  1.071,                0.70664,                 0.9679,                0.89786,                0.70623,                0.70664,                 0.9679,                0.89786,                0.54449,                 1.0211,                 1.8153,                 1.3419,                 1.0978,             0.00073779,             0.00073779,             0.00073779
                     90,                0.92673,                 2.1766,                0.90907,                 1.0647,                0.70664,                 0.9679,                0.89786,                0.70623,                0.70664,                 0.9679,                0.89786,                0.54449,                 1.0211,                 1.8153,                 1.3419,                 1.0978,             0.00073443,             0.00073443,             0.00073443
                     91,                0.90336,                 1.7085,                0.97916,                 1.0958,                0.70664,                 0.9679,                0.89786,                0.70623,                0.70664,                 0.9679,                0.89786,                0.54449,                 1.0211,                 1.8153,                 1.3419,                 1.0978,              0.0007308,              0.0007308,              0.0007308
                     92,                 1.0239,                 1.8571,                0.96619,                 1.1245,                0.79526,                    0.8,                   0.88,                0.73928,                0.79526,                    0.8,                   0.88,                0.56873,                0.99449,                 1.7492,                 1.3002,                 1.1351,             0.00072691,             0.00072691,             0.00072691
                     93,                0.96196,                 1.8401,                0.93391,                 1.0951,                0.79526,                    0.8,                   0.88,                0.73928,                0.79526,                    0.8,                   0.88,                0.56873,                0.99449,                 1.7492,                 1.3002,                 1.1351,             0.00072275,             0.00072275,             0.00072275
                     94,                0.96892,                 2.0289,                0.95091,                 1.0569,                0.79526,                    0.8,                   0.88,                0.73928,                0.79526,                    0.8,                   0.88,                0.56873,                0.99449,                 1.7492,                 1.3002,                 1.1351,             0.00071833,             0.00071833,             0.00071833
                     95,                0.96528,                 1.6637,                0.90726,                 1.0995,                0.79526,                    0.8,                   0.88,                0.73928,                0.79526,                    0.8,                   0.88,                0.56873,                0.99449,                 1.7492,                 1.3002,                 1.1351,             0.00071365,             0.00071365,             0.00071365
                     96,                  1.022,                 2.1748,                  1.066,                 1.1312,                0.82894,                0.97364,                  0.895,                0.77875,                0.82894,                0.97364,                  0.895,                0.61355,                 1.0096,                 1.7183,                 1.2571,                  1.147,              0.0007087,              0.0007087,              0.0007087
                     97,                0.85216,                 1.4084,                0.90395,                 1.1024,                0.82894,                0.97364,                  0.895,                0.77875,                0.82894,                0.97364,                  0.895,                0.61355,                 1.0096,                 1.7183,                 1.2571,                  1.147,             0.00070349,             0.00070349,             0.00070349
                     98,                0.95872,                  1.902,                 1.0036,                 1.0376,                0.82894,                0.97364,                  0.895,                0.77875,                0.82894,                0.97364,                  0.895,                0.61355,                 1.0096,                 1.7183,                 1.2571,                  1.147,             0.00069801,             0.00069801,             0.00069801
                     99,                 1.1344,                 2.0497,                 1.1024,                 1.2303,                0.82894,                0.97364,                  0.895,                0.77875,                0.82894,                0.97364,                  0.895,                0.61355,                 1.0096,                 1.7183,                 1.2571,                  1.147,             0.00069227,             0.00069227,             0.00069227
                    100,                0.85348,                 1.7953,                0.94131,                 1.0583,                0.82845,                0.97069,                0.92833,                0.73985,                0.82845,                0.97069,                0.92833,                0.58382,                 1.0402,                 1.7162,                 1.2147,                 1.1741,             0.00068627,             0.00068627,             0.00068627
                    101,                0.83578,                 1.7218,                0.92397,                0.99583,                0.82845,                0.97069,                0.92833,                0.73985,                0.82845,                0.97069,                0.92833,                0.58382,                 1.0402,                 1.7162,                 1.2147,                 1.1741,                0.00068,                0.00068,                0.00068
                    102,                0.81522,                 1.7317,                0.85039,                 1.0461,                0.82845,                0.97069,                0.92833,                0.73985,                0.82845,                0.97069,                0.92833,                0.58382,                 1.0402,                 1.7162,                 1.2147,                 1.1741,                0.00068,                0.00068,                0.00068
                    103,                 1.0554,                 1.4627,                 1.1059,                 1.1833,                0.82845,                0.97069,                0.92833,                0.73985,                0.82845,                0.97069,                0.92833,                0.58382,                 1.0402,                 1.7162,                 1.2147,                 1.1741,              0.0006668,              0.0006668,              0.0006668
